student_ID,sub_knowledge,knowledge_mastery_score,knowledge_total_score
0088dc183f73c83f763e,b3C9s_j0v1yls8,0.9987527556041351,4
0088dc183f73c83f763e,b3C9s_l4z6od7y,0.814040085529536,6
0088dc183f73c83f763e,g7R2j_e0v1yls8,0.8913158460448068,12
0088dc183f73c83f763e,g7R2j_j1g8gd3v,0.762691571071585,3
0088dc183f73c83f763e,k4W1c_h5r6nux7,0.8381103400939942,3
0088dc183f73c83f763e,m3D1v_r1d7fr3l,0.8478827979719594,27
0088dc183f73c83f763e,m3D1v_t0v5ts9h,0.6864824119770793,3
0088dc183f73c83f763e,m3D1v_v3d9is1x,0.775347591629588,6
0088dc183f73c83f763e,r8S3g_l0p5viby,0.6787052491115209,2
0088dc183f73c83f763e,r8S3g_n0m9rsw4,0.6835864157150096,4
0088dc183f73c83f763e,s8Y2f_v4x8by9j,0.6476327492740663,3
0088dc183f73c83f763e,t5V9e_e1k6cixp,0.6893533577465196,10
0088dc183f73c83f763e,y9W5d_c0w4mj5h,0.900873053059104,24
0088dc183f73c83f763e,y9W5d_e2j7p95s,0.760924120306105,3
0088dc183f73c83f763e,y9W5d_p8g6dgtv,0.7067024917599303,6
00cbf05221bb479e66c3,b3C9s_j0v1yls8,0.9982453840180481,4
00cbf05221bb479e66c3,b3C9s_l4z6od7y,0.6924684071596023,6
00cbf05221bb479e66c3,g7R2j_e0v1yls8,0.7340269706410155,12
00cbf05221bb479e66c3,g7R2j_j1g8gd3v,0.720281879441629,3
00cbf05221bb479e66c3,k4W1c_h5r6nux7,0.8602419751655203,3
00cbf05221bb479e66c3,m3D1v_r1d7fr3l,0.7531294986343171,27
00cbf05221bb479e66c3,m3D1v_t0v5ts9h,0.7761368030943734,3
00cbf05221bb479e66c3,m3D1v_v3d9is1x,0.8323746120598329,6
00cbf05221bb479e66c3,r8S3g_l0p5viby,0.652600847411829,2
00cbf05221bb479e66c3,r8S3g_n0m9rsw4,0.6344594902638507,4
00cbf05221bb479e66c3,s8Y2f_v4x8by9j,0.6331393811253537,3
00cbf05221bb479e66c3,t5V9e_e1k6cixp,0.6846397030348763,10
00cbf05221bb479e66c3,y9W5d_c0w4mj5h,0.7698588255860039,24
00cbf05221bb479e66c3,y9W5d_e2j7p95s,0.7609302910359599,3
00cbf05221bb479e66c3,y9W5d_p8g6dgtv,0.7019985370916277,6
00df647ee4bf7173642f,b3C9s_j0v1yls8,0.5213487737756228,4
00df647ee4bf7173642f,b3C9s_l4z6od7y,0.6239374551666788,6
00df647ee4bf7173642f,g7R2j_e0v1yls8,0.6698620148248259,12
00df647ee4bf7173642f,g7R2j_j1g8gd3v,0.5745383665755293,3
00df647ee4bf7173642f,k4W1c_h5r6nux7,0.7292786978459365,3
00df647ee4bf7173642f,m3D1v_r1d7fr3l,0.7621047425192432,27
00df647ee4bf7173642f,m3D1v_t0v5ts9h,0.6862722132055543,3
00df647ee4bf7173642f,m3D1v_v3d9is1x,0.7585539095536198,6
00df647ee4bf7173642f,r8S3g_l0p5viby,0.6474178183046411,2
00df647ee4bf7173642f,r8S3g_n0m9rsw4,0.7119510824939503,4
00df647ee4bf7173642f,s8Y2f_v4x8by9j,0.6749099345279499,3
00df647ee4bf7173642f,t5V9e_e1k6cixp,0.6833924327038251,10
00df647ee4bf7173642f,y9W5d_c0w4mj5h,0.7252619253842766,24
00df647ee4bf7173642f,y9W5d_e2j7p95s,0.6373558266254429,3
00df647ee4bf7173642f,y9W5d_p8g6dgtv,0.6450989234539838,6
0107f72b66cbd1a0926d,b3C9s_j0v1yls8,0.9987649925106452,4
0107f72b66cbd1a0926d,b3C9s_l4z6od7y,0.9993335486292824,6
0107f72b66cbd1a0926d,g7R2j_e0v1yls8,0.8170112265183271,12
0107f72b66cbd1a0926d,g7R2j_j1g8gd3v,0.8145995789768107,3
0107f72b66cbd1a0926d,k4W1c_h5r6nux7,0.8056045883536196,3
0107f72b66cbd1a0926d,m3D1v_r1d7fr3l,0.895926222187873,27
0107f72b66cbd1a0926d,m3D1v_t0v5ts9h,0.9986732157118199,3
0107f72b66cbd1a0926d,m3D1v_v3d9is1x,0.861852309432416,6
0107f72b66cbd1a0926d,r8S3g_l0p5viby,0.8674594185537264,2
0107f72b66cbd1a0926d,r8S3g_n0m9rsw4,0.8544642647827351,4
0107f72b66cbd1a0926d,s8Y2f_v4x8by9j,0.7960697730621218,3
0107f72b66cbd1a0926d,t5V9e_e1k6cixp,0.8410712665868574,10
0107f72b66cbd1a0926d,y9W5d_c0w4mj5h,0.8418894888007113,24
0107f72b66cbd1a0926d,y9W5d_e2j7p95s,0.8660450839531526,3
0107f72b66cbd1a0926d,y9W5d_p8g6dgtv,0.9480723224176446,6
011d454f199c123d44ad,b3C9s_j0v1yls8,0.7361749141576408,4
011d454f199c123d44ad,b3C9s_l4z6od7y,0.771775189932737,6
011d454f199c123d44ad,g7R2j_e0v1yls8,0.8337344304094619,12
011d454f199c123d44ad,g7R2j_j1g8gd3v,0.7627466371508802,3
011d454f199c123d44ad,k4W1c_h5r6nux7,0.9985324912869544,3
011d454f199c123d44ad,m3D1v_r1d7fr3l,0.7667766315114818,27
011d454f199c123d44ad,m3D1v_t0v5ts9h,0.5438178208297615,3
011d454f199c123d44ad,m3D1v_v3d9is1x,0.8647008654851152,6
011d454f199c123d44ad,r8S3g_l0p5viby,0.8643113752933484,2
011d454f199c123d44ad,r8S3g_n0m9rsw4,0.8069637062246906,4
011d454f199c123d44ad,s8Y2f_v4x8by9j,0.6668624465243242,3
011d454f199c123d44ad,t5V9e_e1k6cixp,0.7059478739639009,10
011d454f199c123d44ad,y9W5d_c0w4mj5h,0.8655420996080246,24
011d454f199c123d44ad,y9W5d_e2j7p95s,0.7959973713652708,3
011d454f199c123d44ad,y9W5d_p8g6dgtv,0.7311386055078961,6
01558eef77a8d39b7103,b3C9s_j0v1yls8,0.9981107780464376,4
01558eef77a8d39b7103,b3C9s_l4z6od7y,0.8336360741703746,6
01558eef77a8d39b7103,g7R2j_e0v1yls8,0.8555821657668401,12
01558eef77a8d39b7103,g7R2j_j1g8gd3v,0.8290016346544287,3
01558eef77a8d39b7103,k4W1c_h5r6nux7,0.654220009304956,3
01558eef77a8d39b7103,m3D1v_r1d7fr3l,0.8424850684261767,27
01558eef77a8d39b7103,m3D1v_t0v5ts9h,0.5946126700214615,3
01558eef77a8d39b7103,m3D1v_v3d9is1x,0.9981750218056153,6
01558eef77a8d39b7103,r8S3g_l0p5viby,0.7294225736575899,2
01558eef77a8d39b7103,r8S3g_n0m9rsw4,0.8365328526437238,4
01558eef77a8d39b7103,s8Y2f_v4x8by9j,0.9971939301263437,3
01558eef77a8d39b7103,t5V9e_e1k6cixp,0.8670954956767934,10
01558eef77a8d39b7103,y9W5d_c0w4mj5h,0.8554605263054682,24
01558eef77a8d39b7103,y9W5d_e2j7p95s,0.9981291334062028,3
01558eef77a8d39b7103,y9W5d_p8g6dgtv,0.8715546327271925,6
