student_ID,knowledge,knowledge_mastery_score,knowledge_total_score
0088dc183f73c83f763e,b3C9s,0.887925154,10
0088dc183f73c83f763e,g7R2j,0.865590991,15
0088dc183f73c83f763e,k4W1c,0.83811034,3
0088dc183f73c83f763e,m3D1v,0.822343565,36
0088dc183f73c83f763e,r8S3g,0.684519767,5
0088dc183f73c83f763e,s8Y2f,0.647632749,3
0088dc183f73c83f763e,t5V9e,0.689353358,10
0088dc183f73c83f763e,y9W5d,0.852846684,33
00cbf05221bb479e66c3,b3C9s,0.814779198,10
00cbf05221bb479e66c3,g7R2j,0.731277952,15
00cbf05221bb479e66c3,k4W1c,0.860241975,3
00cbf05221bb479e66c3,m3D1v,0.768254293,36
00cbf05221bb479e66c3,r8S3g,0.6571946,5
00cbf05221bb479e66c3,s8Y2f,0.633139381,3
00cbf05221bb479e66c3,t5V9e,0.684639703,10
00cbf05221bb479e66c3,y9W5d,0.756708906,33
00df647ee4bf7173642f,b3C9s,0.582901983,10
00df647ee4bf7173642f,g7R2j,0.650797285,15
00df647ee4bf7173642f,k4W1c,0.729278698,3
00df647ee4bf7173642f,m3D1v,0.75519356,36
00df647ee4bf7173642f,r8S3g,0.702867458,5
00df647ee4bf7173642f,s8Y2f,0.674909935,3
00df647ee4bf7173642f,t5V9e,0.683392433,10
00df647ee4bf7173642f,y9W5d,0.702695371,33
0107f72b66cbd1a0926d,b3C9s,0.999106126,10
0107f72b66cbd1a0926d,g7R2j,0.816528897,15
0107f72b66cbd1a0926d,k4W1c,0.805604588,3
0107f72b66cbd1a0926d,m3D1v,0.898809486,36
0107f72b66cbd1a0926d,r8S3g,0.883264541,5
0107f72b66cbd1a0926d,s8Y2f,0.796069773,3
0107f72b66cbd1a0926d,t5V9e,0.841071267,10
0107f72b66cbd1a0926d,y9W5d,0.863391422,33
011d454f199c123d44ad,b3C9s,0.75753508,10
011d454f199c123d44ad,g7R2j,0.819536872,15
011d454f199c123d44ad,k4W1c,0.998532491,3
011d454f199c123d44ad,m3D1v,0.764517436,36
011d454f199c123d44ad,r8S3g,0.845359451,5
011d454f199c123d44ad,s8Y2f,0.666862447,3
011d454f199c123d44ad,t5V9e,0.705947874,10
011d454f199c123d44ad,y9W5d,0.834782853,33
01558eef77a8d39b7103,b3C9s,0.899425956,10
01558eef77a8d39b7103,g7R2j,0.85026606,15
01558eef77a8d39b7103,k4W1c,0.654220009,3
01558eef77a8d39b7103,m3D1v,0.847777361,36
01558eef77a8d39b7103,r8S3g,0.816515673,5
01558eef77a8d39b7103,s8Y2f,0.99719393,3
01558eef77a8d39b7103,t5V9e,0.867095496,10
01558eef77a8d39b7103,y9W5d,0.871356601,33
016226278e6a69e10aa4,b3C9s,0.834063313,10
016226278e6a69e10aa4,g7R2j,0.763302707,15
016226278e6a69e10aa4,k4W1c,0.603636868,3
016226278e6a69e10aa4,m3D1v,0.827024574,36
016226278e6a69e10aa4,r8S3g,0.659228798,5
016226278e6a69e10aa4,s8Y2f,0.814688297,3
016226278e6a69e10aa4,t5V9e,0.691423415,10
016226278e6a69e10aa4,y9W5d,0.764809114,33
01a691413dc5897db83f,b3C9s,0.695708559,10
01a691413dc5897db83f,g7R2j,0.683261508,15
01a691413dc5897db83f,k4W1c,0.603066142,3
01a691413dc5897db83f,m3D1v,0.650933917,36
01a691413dc5897db83f,r8S3g,0.745941571,5
01a691413dc5897db83f,s8Y2f,0.647547998,3
01a691413dc5897db83f,t5V9e,0.738811008,10
01a691413dc5897db83f,y9W5d,0.686926817,33
01d8aa21ef476b66c573,b3C9s,0.872561864,10
01d8aa21ef476b66c573,g7R2j,0.84528167,15
01d8aa21ef476b66c573,k4W1c,0.896385663,3
01d8aa21ef476b66c573,m3D1v,0.864066227,36
01d8aa21ef476b66c573,r8S3g,0.873234356,5
01d8aa21ef476b66c573,s8Y2f,0.725283797,3
01d8aa21ef476b66c573,t5V9e,0.895212608,10
01d8aa21ef476b66c573,y9W5d,0.787531159,33
01qkq6w2v62cimidb3b7,b3C9s,0.525542755,10
01qkq6w2v62cimidb3b7,g7R2j,0.726297445,15
01qkq6w2v62cimidb3b7,k4W1c,0.752042886,3
01qkq6w2v62cimidb3b7,m3D1v,0.605539671,36
01qkq6w2v62cimidb3b7,r8S3g,0.631891057,5
01qkq6w2v62cimidb3b7,s8Y2f,0.813737567,3
01qkq6w2v62cimidb3b7,t5V9e,0.725881757,10
01qkq6w2v62cimidb3b7,y9W5d,0.750340536,33
02068067a434adb6556a,r8S3g,0.132309253,5
0258f681a9e1756dfc76,b3C9s,0.821222751,10
0258f681a9e1756dfc76,g7R2j,0.755822402,15
0258f681a9e1756dfc76,k4W1c,0.562889557,3
0258f681a9e1756dfc76,m3D1v,0.751123639,36
0258f681a9e1756dfc76,r8S3g,0.612249703,5
0258f681a9e1756dfc76,s8Y2f,0.685806141,3
0258f681a9e1756dfc76,t5V9e,0.731818949,10
0258f681a9e1756dfc76,y9W5d,0.688721461,33
03754dce5ec7731fb3e2,b3C9s,0.886628229,10
03754dce5ec7731fb3e2,g7R2j,0.770681301,15
03754dce5ec7731fb3e2,k4W1c,0.96407255,3
03754dce5ec7731fb3e2,m3D1v,0.933749654,36
03754dce5ec7731fb3e2,r8S3g,0.83978654,5
03754dce5ec7731fb3e2,s8Y2f,0.715386101,3
03754dce5ec7731fb3e2,t5V9e,0.856078925,10
03754dce5ec7731fb3e2,y9W5d,0.874084593,33
037a76bc8e6bf5fe1fc0,b3C9s,0.903957826,10
037a76bc8e6bf5fe1fc0,g7R2j,0.998355332,15
037a76bc8e6bf5fe1fc0,k4W1c,0.998202555,3
037a76bc8e6bf5fe1fc0,m3D1v,0.983197764,36
037a76bc8e6bf5fe1fc0,r8S3g,0.998824861,5
037a76bc8e6bf5fe1fc0,s8Y2f,0.99802512,3
037a76bc8e6bf5fe1fc0,t5V9e,0.99837124,10
037a76bc8e6bf5fe1fc0,y9W5d,0.998368656,33
03aa0b20dd4af1888eef,b3C9s,0.754574671,10
03aa0b20dd4af1888eef,g7R2j,0.780173651,15
03aa0b20dd4af1888eef,k4W1c,0.998746637,3
03aa0b20dd4af1888eef,m3D1v,0.8230534,36
03aa0b20dd4af1888eef,r8S3g,0.701159897,5
03aa0b20dd4af1888eef,s8Y2f,0.583079626,3
03aa0b20dd4af1888eef,t5V9e,0.851275983,10
03aa0b20dd4af1888eef,y9W5d,0.838573222,33
03b463f52c0fff35433b,b3C9s,0.997543064,10
03b463f52c0fff35433b,g7R2j,0.995874764,15
03b463f52c0fff35433b,k4W1c,0.99822091,3
03b463f52c0fff35433b,m3D1v,0.851398445,36
03b463f52c0fff35433b,r8S3g,0.887964427,5
03b463f52c0fff35433b,s8Y2f,0.997701302,3
03b463f52c0fff35433b,t5V9e,0.904120892,10
03b463f52c0fff35433b,y9W5d,0.958187361,33
03e0c9bff3a9557480d9,b3C9s,0.862327735,10
03e0c9bff3a9557480d9,g7R2j,0.510747545,15
03e0c9bff3a9557480d9,k4W1c,0.999254009,3
03e0c9bff3a9557480d9,m3D1v,0.817919692,36
03e0c9bff3a9557480d9,r8S3g,0.673102138,5
03e0c9bff3a9557480d9,s8Y2f,0.998703808,3
03e0c9bff3a9557480d9,t5V9e,0.869465099,10
03e0c9bff3a9557480d9,y9W5d,0.925249383,33
04f2689b4ea16d8d7d9a,b3C9s,0.755696868,10
04f2689b4ea16d8d7d9a,g7R2j,0.653976298,15
04f2689b4ea16d8d7d9a,k4W1c,0.624242763,3
04f2689b4ea16d8d7d9a,m3D1v,0.746671849,36
04f2689b4ea16d8d7d9a,r8S3g,0.65514368,5
04f2689b4ea16d8d7d9a,s8Y2f,0.735697905,3
04f2689b4ea16d8d7d9a,t5V9e,0.734472579,10
04f2689b4ea16d8d7d9a,y9W5d,0.727152611,33
0557b1363a5092b5811f,b3C9s,0.661417535,10
0557b1363a5092b5811f,g7R2j,0.668191478,15
0557b1363a5092b5811f,k4W1c,0.706353945,3
0557b1363a5092b5811f,m3D1v,0.704856907,36
0557b1363a5092b5811f,r8S3g,0.760289089,5
0557b1363a5092b5811f,s8Y2f,0.630589553,3
0557b1363a5092b5811f,t5V9e,0.656993548,10
0557b1363a5092b5811f,y9W5d,0.653426358,33
0559e9cf806dab4cc20d,b3C9s,0.648811085,10
0559e9cf806dab4cc20d,g7R2j,0.664827595,15
0559e9cf806dab4cc20d,k4W1c,0.740236539,3
0559e9cf806dab4cc20d,m3D1v,0.740338755,36
0559e9cf806dab4cc20d,r8S3g,0.877422039,5
0559e9cf806dab4cc20d,s8Y2f,0.580966798,3
0559e9cf806dab4cc20d,t5V9e,0.751184749,10
0559e9cf806dab4cc20d,y9W5d,0.727542322,33
056ab41140f68c15db14,b3C9s,0.944057393,10
056ab41140f68c15db14,g7R2j,0.744950237,15
056ab41140f68c15db14,k4W1c,0.998147489,3
056ab41140f68c15db14,m3D1v,0.861054729,36
056ab41140f68c15db14,r8S3g,0.897347171,5
056ab41140f68c15db14,s8Y2f,0.614027341,3
056ab41140f68c15db14,t5V9e,0.76272464,10
056ab41140f68c15db14,y9W5d,0.788564989,33
058c03d945c4ae0978a0,b3C9s,0.825780652,10
058c03d945c4ae0978a0,g7R2j,0.873012539,15
058c03d945c4ae0978a0,k4W1c,0.726667428,3
058c03d945c4ae0978a0,m3D1v,0.944754766,36
058c03d945c4ae0978a0,r8S3g,0.997923921,5
058c03d945c4ae0978a0,s8Y2f,0.814055497,3
058c03d945c4ae0978a0,t5V9e,0.940718415,10
058c03d945c4ae0978a0,y9W5d,0.857272148,33
05e1c3ce1728da7e37e0,k4W1c,0.736306346,3
05e1c3ce1728da7e37e0,m3D1v,0.792652074,36
05e1c3ce1728da7e37e0,r8S3g,0.693158024,5
05e1c3ce1728da7e37e0,t5V9e,0.731088805,10
05e1c3ce1728da7e37e0,y9W5d,0.326286701,33
05e6d9723ab3cde0841d,b3C9s,0.622933687,10
05e6d9723ab3cde0841d,g7R2j,0.728499641,15
05e6d9723ab3cde0841d,k4W1c,0.637012953,3
05e6d9723ab3cde0841d,m3D1v,0.67765932,36
05e6d9723ab3cde0841d,r8S3g,0.669470853,5
05e6d9723ab3cde0841d,s8Y2f,0.532237933,3
05e6d9723ab3cde0841d,t5V9e,0.703901188,10
05e6d9723ab3cde0841d,y9W5d,0.663759737,33
061db2c91f94c612f2d4,b3C9s,0.912610718,10
061db2c91f94c612f2d4,g7R2j,0.976449463,15
061db2c91f94c612f2d4,k4W1c,0.929401804,3
061db2c91f94c612f2d4,m3D1v,0.945827899,36
061db2c91f94c612f2d4,r8S3g,0.961173958,5
061db2c91f94c612f2d4,s8Y2f,0.813538947,3
061db2c91f94c612f2d4,t5V9e,0.998496057,10
061db2c91f94c612f2d4,y9W5d,0.928504305,33
06309f4c8785254f4c13,b3C9s,0.998621347,10
06309f4c8785254f4c13,g7R2j,0.850965014,15
06309f4c8785254f4c13,k4W1c,0.99869769,3
06309f4c8785254f4c13,m3D1v,0.967142577,36
06309f4c8785254f4c13,r8S3g,0.732677449,5
06309f4c8785254f4c13,s8Y2f,0.998019001,3
06309f4c8785254f4c13,t5V9e,0.830574026,10
06309f4c8785254f4c13,y9W5d,0.969042616,33
06aff3e28c5db152f506,b3C9s,0.761423955,10
06aff3e28c5db152f506,g7R2j,0.802988136,15
06aff3e28c5db152f506,k4W1c,0.727175412,3
06aff3e28c5db152f506,m3D1v,0.90518098,36
06aff3e28c5db152f506,r8S3g,0.881375837,5
06aff3e28c5db152f506,s8Y2f,0.814019016,3
06aff3e28c5db152f506,t5V9e,0.911354871,10
06aff3e28c5db152f506,y9W5d,0.874216596,33
071685b292483b04e836,b3C9s,0.998509425,10
071685b292483b04e836,g7R2j,0.945208349,15
071685b292483b04e836,k4W1c,0.865032227,3
071685b292483b04e836,m3D1v,0.975759483,36
071685b292483b04e836,r8S3g,0.845198603,5
071685b292483b04e836,s8Y2f,0.930051633,3
071685b292483b04e836,t5V9e,0.79045901,10
071685b292483b04e836,y9W5d,0.928496065,33
074d7f43de7264306775,b3C9s,0.998087712,10
074d7f43de7264306775,g7R2j,0.726048111,15
074d7f43de7264306775,k4W1c,0.998178081,3
074d7f43de7264306775,m3D1v,0.78616658,36
074d7f43de7264306775,r8S3g,0.703724439,5
074d7f43de7264306775,s8Y2f,0.81352977,3
074d7f43de7264306775,t5V9e,0.777482928,10
074d7f43de7264306775,y9W5d,0.876172652,33
077d5c82c9ee5019220f,b3C9s,0.943560576,10
077d5c82c9ee5019220f,g7R2j,0.887317839,15
077d5c82c9ee5019220f,k4W1c,0.902624659,3
077d5c82c9ee5019220f,m3D1v,0.939307645,36
077d5c82c9ee5019220f,r8S3g,0.822518291,5
077d5c82c9ee5019220f,s8Y2f,0.761790886,3
077d5c82c9ee5019220f,t5V9e,0.856240367,10
077d5c82c9ee5019220f,y9W5d,0.871040416,33
07e3362d20ff4337671b,b3C9s,0.998865947,10
07e3362d20ff4337671b,g7R2j,0.839830351,15
07e3362d20ff4337671b,k4W1c,0.814171747,3
07e3362d20ff4337671b,m3D1v,0.88288862,36
07e3362d20ff4337671b,r8S3g,0.789717966,5
07e3362d20ff4337671b,s8Y2f,0.998954665,3
07e3362d20ff4337671b,t5V9e,0.877280603,10
07e3362d20ff4337671b,y9W5d,0.953058502,33
091554ffa26fc9b17c36,b3C9s,0.998370674,10
091554ffa26fc9b17c36,g7R2j,0.894717226,15
091554ffa26fc9b17c36,k4W1c,0.998709926,3
091554ffa26fc9b17c36,m3D1v,0.892750135,36
091554ffa26fc9b17c36,r8S3g,0.92418617,5
091554ffa26fc9b17c36,s8Y2f,0.998703808,3
091554ffa26fc9b17c36,t5V9e,0.982442543,10
091554ffa26fc9b17c36,y9W5d,0.957699093,33
09400a9b50b6c96c5510,b3C9s,0.784453711,10
09400a9b50b6c96c5510,g7R2j,0.775668358,15
09400a9b50b6c96c5510,k4W1c,0.896053098,3
09400a9b50b6c96c5510,m3D1v,0.921492915,36
09400a9b50b6c96c5510,r8S3g,0.750740173,5
09400a9b50b6c96c5510,s8Y2f,0.998006764,3
09400a9b50b6c96c5510,t5V9e,0.80875225,10
09400a9b50b6c96c5510,y9W5d,0.952982209,33
098b2c66cbc1ed736e14,b3C9s,0.730415964,10
098b2c66cbc1ed736e14,g7R2j,0.874256235,15
098b2c66cbc1ed736e14,k4W1c,0.947346001,3
098b2c66cbc1ed736e14,m3D1v,0.881026601,36
098b2c66cbc1ed736e14,r8S3g,0.862469875,5
098b2c66cbc1ed736e14,s8Y2f,0.839275646,3
098b2c66cbc1ed736e14,t5V9e,0.853687099,10
098b2c66cbc1ed736e14,y9W5d,0.886304377,33
0999173c045ee29a0b44,b3C9s,0.90502358,10
0999173c045ee29a0b44,g7R2j,0.85399767,15
0999173c045ee29a0b44,k4W1c,0.727917549,3
0999173c045ee29a0b44,m3D1v,0.817199653,36
