student_ID,submit_count,active_days,question_count,correct_ratio,month_count,cluster,pattern,month
951d2aca1b8a1c336908,70,1,14,0.5571428571428572,1,1,探索尝试型,2023-08
bd657014cfd3fe7a8fe2,14,1,11,1.0,1,0,探索尝试型,2023-08
3531c5f9d520759ba697,1,1,1,1.0,1,0,探索尝试型,2023-08
c5c5e10586e94f96fe95,13,1,3,0.23076923076923078,1,2,集中针对型,2023-08
132c90d4a027a4477ad0,1,1,1,0.0,1,2,集中针对型,2023-08
3b6f3bb370f3107e257d,13,1,6,0.38461538461538464,1,0,探索尝试型,2023-08
148o63s7q5aitfxmmtrg,1,1,1,1.0,1,0,探索尝试型,2023-08
1nyzl7s790ta4c8r1l9g,5,1,4,0.6,1,0,探索尝试型,2023-08
t23e5lcdy5k50uvg5k0v,1,1,1,1.0,1,0,探索尝试型,2023-08
w9r5wihhl33fmutbq5qd,1,1,1,0.0,1,2,集中针对型,2023-08
lpzjucfyqwtb8ihim9b3,5,1,3,0.4,1,0,探索尝试型,2023-08
qu1rl2d6teeyti106rgx,3,1,3,1.0,1,0,探索尝试型,2023-08
hc0idvz0lxc4zpx94cbx,3,1,3,0.6666666666666666,1,0,探索尝试型,2023-08
e43g7im7dra88a4o8bbl,1,1,1,1.0,1,0,探索尝试型,2023-08
8l0qqik09gqh0e5anus0,5,1,3,0.6,1,0,探索尝试型,2023-08
70exfe4k4e5vvm5sqspq,2,1,2,0.0,1,2,集中针对型,2023-08
fcwom6dicy0kov3lxsf8,3,1,2,1.0,1,0,探索尝试型,2023-08
gk8izwg77g6t4p5buiar,3,1,2,0.6666666666666666,1,0,探索尝试型,2023-08
lqg2nmqf4x8w52gx12xw,1,1,1,0.0,1,2,集中针对型,2023-08
yesnbayr80dvsb8ajp9v,1,1,1,0.0,1,2,集中针对型,2023-08
40rkj6cwy12hdupgq4w2,3,1,3,1.0,1,0,探索尝试型,2023-08
wj1gt5zvzfnjf7xcf1c8,4,1,3,0.5,1,0,探索尝试型,2023-08
ov1tvylbnny48ojayssl,2,1,2,0.5,1,0,探索尝试型,2023-08
i8wbhc071gfhkbhtmeb1,1,1,1,1.0,1,0,探索尝试型,2023-08
8hn55e1bxuyegxa76l3r,1,1,1,0.0,1,2,集中针对型,2023-08
gsirdbny6840zq22vo7a,3,1,3,0.6666666666666666,1,0,探索尝试型,2023-08
7kqvekz6iho08947fhk9,1,1,1,1.0,1,0,探索尝试型,2023-08
1f4oscu6io8xlog2157e,2,1,2,0.5,1,0,探索尝试型,2023-08
msko5bf6rjt9adsuxby9,1,1,1,1.0,1,0,探索尝试型,2023-08
gj009a2t56bxjluh0mox,1,1,1,0.0,1,2,集中针对型,2023-08
z0mde15metn3m79ek96y,1,1,1,1.0,1,0,探索尝试型,2023-08
