student_ID,submit_count,active_days,question_count,correct_ratio_x,month_count,cluster,pattern,submit_ratio,active_ratio,question_ratio,correct_ratio_y
8b6d1125760bd3939b6e,67,4,38,0.6268656716417911,3,2,探索尝试型,0.9152621905916396,0.6880116427142078,0.9957057916758423,1.2449631915117334
63eef37311aaac915a45,246,9,38,0.3130081300813008,2,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
5d89810b20079366fcc2,49,6,36,0.7959183673469388,4,2,探索尝试型,0.9152621905916396,0.6880116427142078,0.9957057916758423,1.2449631915117334
47eeab842793b09300c3,104,17,38,0.4807692307692308,5,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
a8eea517e36b20757b2e,167,19,36,0.38922155688622756,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
e89cdaa3f159a0d3f55e,420,28,38,0.42142857142857143,4,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
e324cc9cb52a2b3cb9cb,209,18,38,0.24880382775119617,2,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
98e10f84d94623f8b39e,162,8,37,0.3765432098765432,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
3c89c7f1db26ae691db8,251,26,38,0.4262948207171315,4,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
9ea29e4a747ea4a7c70a,164,25,38,0.5975609756097561,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
e23ada44d3eac9b465d2,74,24,38,0.7027027027027027,4,2,探索尝试型,0.9152621905916396,0.6880116427142078,0.9957057916758423,1.2449631915117334
b79c2d9d8148403a3720,234,21,38,0.7435897435897436,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
01d8aa21ef476b66c573,129,14,38,0.6434108527131783,3,2,探索尝试型,0.9152621905916396,0.6880116427142078,0.9957057916758423,1.2449631915117334
9417c1b4c24e428984bc,196,18,38,0.5408163265306123,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
3d63ba961a5f3a60616a,76,14,38,0.6973684210526315,3,2,探索尝试型,0.9152621905916396,0.6880116427142078,0.9957057916758423,1.2449631915117334
57709f904b1cc9ec60b1,160,34,38,0.54375,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
8979427badebb9e2bd10,118,17,38,0.4915254237288136,3,0,集中针对型,1.7906970516562675,0.7925750591752834,0.9978133011612125,0.7858119311445027
